행사명,날짜,시작 시간,끝나는 시간,호선,역명,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
월드 디제이 페스티벌,2018-05-27,14:00,22:00,2호선,시청,하차,34,223,273,486,653,632,562,639,746,624,491,450,534,307,231,234,220,223,190,21.0
아이유 콘서트,2022-09-17,19:00,21:30,2호선,을지로3가,하차,48,343,377,591,569,559,859,873,1019,1032,1136,1227,1443,1231,892,606,466,405,403,24.0
아이유 콘서트,2022-09-18,19:00,21:30,2호선,을지로3가,하차,34,280,244,591,624,776,815,747,840,790,701,669,712,611,484,294,344,215,251,6.0
싸이 흠뻑쇼,2022-07-15,18:42,22:40,2호선,을지로3가,하차,67,817,2981,7503,2881,1370,944,860,896,834,799,1018,1301,1930,1115,489,420,355,266,171.0
싸이 흠뻑쇼,2022-07-16,18:42,22:40,2호선,을지로3가,하차,31,356,375,519,566,547,760,753,1001,902,959,1151,1537,1146,686,487,423,361,303,11.0
싸이 흠뻑쇼,2022-07-17,18:42,22:40,2호선,을지로3가,하차,49,319,221,540,572,686,757,667,786,728,637,614,646,517,354,356,295,172,171,0.0
워터밤 2022,2022-06-24,12:00,22:00,2호선,을지로3가,하차,61,823,2946,7332,3030,1162,951,962,957,889,794,926,1323,2005,1260,548,405,375,314,142.0
워터밤 2022,2022-06-25,12:00,22:00,2호선,을지로3가,하차,46,300,350,543,625,616,795,980,1029,960,1008,1255,1348,1326,720,649,485,402,281,11.0
워터밤 2022,2022-06-26,12:00,22:00,2호선,을지로3가,하차,38,315,234,479,578,616,770,656,748,794,665,572,619,526,310,280,280,185,140,5.0
bts 콘서트 2019,2019-10-26,18:30,,2호선,을지로3가,하차,43,369,517,763,921,919,990,1211,1232,1283,1223,1432,1657,1525,956,729,600,606,477,47.0
bts 콘서트 2019,2019-10-27,18:30,,2호선,을지로3가,하차,41,373,334,711,936,1050,1251,992,1179,993,802,920,886,784,568,478,378,466,295,12.0
bts 콘서트 2019,2019-10-29,18:30,,2호선,을지로3가,하차,72,723,3061,7587,3826,1747,1194,1041,1202,984,884,884,1122,1531,827,458,358,445,364,74.0
bts 콘서트 2018,2018-08-25,18:30,,2호선,을지로3가,하차,48,312,464,898,930,699,838,891,1017,977,841,1048,928,751,524,483,414,413,380,39.0
bts 콘서트 2018,2018-08-26,18:30,,2호선,을지로3가,하차,26,356,369,653,837,815,943,805,904,739,541,539,474,414,346,298,346,352,230,10.0
조용필 콘서트 2018,2018-05-12,19:30,,2호선,을지로3가,하차,55,317,596,950,939,761,904,863,952,994,812,869,832,773,538,422,363,318,325,71.0
월드 디제이 페스티벌,2018-05-26,14:00,22:00,2호선,을지로3가,하차,65,354,579,937,1222,857,914,1002,1060,951,894,873,857,811,589,457,412,390,339,76.0
월드 디제이 페스티벌,2018-05-27,14:00,22:00,2호선,을지로3가,하차,56,368,391,654,911,972,1041,835,958,719,602,484,461,401,279,271,227,287,199,7.0
아이유 콘서트,2022-09-17,19:00,21:30,2호선,을지로4가,하차,48,366,386,609,537,625,761,778,794,757,763,667,613,517,385,218,200,191,358,14.0
아이유 콘서트,2022-09-18,19:00,21:30,2호선,을지로4가,하차,24,84,102,150,207,288,382,427,455,354,350,323,312,231,176,203,157,132,170,1.0
싸이 흠뻑쇼,2022-07-15,18:42,22:40,2호선,을지로4가,하차,64,606,1509,3481,1541,898,805,751,569,601,637,604,609,695,412,197,209,222,200,119.0
싸이 흠뻑쇼,2022-07-16,18:42,22:40,2호선,을지로4가,하차,43,339,346,579,514,561,662,560,647,596,552,544,637,418,253,184,172,155,168,1.0
싸이 흠뻑쇼,2022-07-17,18:42,22:40,2호선,을지로4가,하차,9,104,99,131,169,223,344,323,374,328,285,265,313,207,142,123,181,143,128,1.0
워터밤 2022,2022-06-24,12:00,22:00,2호선,을지로4가,하차,51,580,1433,3459,1652,939,825,731,817,678,605,627,597,717,473,221,206,160,134,88.0
워터밤 2022,2022-06-25,12:00,22:00,2호선,을지로4가,하차,55,322,408,564,550,599,747,762,791,744,626,610,590,506,255,186,172,172,167,5.0
워터밤 2022,2022-06-26,12:00,22:00,2호선,을지로4가,하차,25,97,114,143,192,239,315,370,420,357,287,264,276,216,161,155,130,155,96,2.0
bts 콘서트 2019,2019-10-26,18:30,,2호선,을지로4가,하차,34,288,442,884,870,886,1041,1076,1050,1084,959,819,810,622,375,282,271,328,294,25.0
bts 콘서트 2019,2019-10-27,18:30,,2호선,을지로4가,하차,19,125,162,214,288,445,483,571,616,590,589,463,357,308,202,220,243,280,230,8.0
bts 콘서트 2019,2019-10-29,18:30,,2호선,을지로4가,하차,44,447,1323,3766,1942,1006,1045,902,877,864,724,650,672,617,339,211,243,285,226,62.0
bts 콘서트 2018,2018-08-25,18:30,,2호선,을지로4가,하차,44,458,482,967,887,757,874,865,892,770,740,632,544,368,291,238,236,256,253,30.0
bts 콘서트 2018,2018-08-26,18:30,,2호선,을지로4가,하차,14,89,121,189,236,309,397,423,365,358,331,307,265,222,159,165,170,283,164,1.0
조용필 콘서트 2018,2018-05-12,19:30,,2호선,을지로4가,하차,38,400,514,1014,892,725,743,775,721,804,625,651,569,454,354,208,218,218,153,19.0
월드 디제이 페스티벌,2018-05-26,14:00,22:00,2호선,을지로4가,하차,41,457,526,1100,992,832,1015,1033,929,802,773,708,582,456,261,246,194,215,221,32.0
월드 디제이 페스티벌,2018-05-27,14:00,22:00,2호선,을지로4가,하차,15,133,124,214,276,307,406,509,467,405,347,300,329,272,169,178,155,155,133,2.0
아이유 콘서트,2022-09-17,19:00,21:30,2호선,동대문역사문화공원,하차,49,207,306,516,627,775,1082,1146,1160,1171,1022,877,1132,815,627,515,524,483,572,32.0
아이유 콘서트,2022-09-18,19:00,21:30,2호선,동대문역사문화공원,하차,39,139,156,291,495,777,863,891,1034,812,770,701,650,647,801,617,457,397,410,2.0
싸이 흠뻑쇼,2022-07-15,18:42,22:40,2호선,동대문역사문화공원,하차,65,351,1063,2270,1347,1047,959,953,848,945,913,790,944,1089,698,467,456,375,470,392.0
싸이 흠뻑쇼,2022-07-16,18:42,22:40,2호선,동대문역사문화공원,하차,43,219,274,635,671,894,1053,1145,1172,1340,1157,996,1049,841,514,439,429,443,460,5.0
싸이 흠뻑쇼,2022-07-17,18:42,22:40,2호선,동대문역사문화공원,하차,27,127,210,492,511,713,910,958,998,973,920,777,690,619,741,563,460,373,339,14.0
워터밤 2022,2022-06-24,12:00,22:00,2호선,동대문역사문화공원,하차,50,371,1039,2227,1587,998,919,877,1041,1144,925,843,969,1122,750,498,463,412,374,283.0
워터밤 2022,2022-06-25,12:00,22:00,2호선,동대문역사문화공원,하차,41,164,282,469,659,845,1175,1262,1241,1297,1086,932,907,724,444,454,443,379,425,4.0
워터밤 2022,2022-06-26,12:00,22:00,2호선,동대문역사문화공원,하차,18,116,180,509,473,630,804,884,869,787,743,666,552,543,675,528,407,323,270,5.0
bts 콘서트 2019,2019-10-26,18:30,,2호선,동대문역사문화공원,하차,64,239,562,1120,1159,1527,1715,1895,2106,2039,1734,1813,1804,1608,1265,1202,1010,1157,747,178.0
bts 콘서트 2019,2019-10-27,18:30,,2호선,동대문역사문화공원,하차,33,197,317,448,725,1113,1319,1511,1728,1641,1401,1385,1328,1338,1585,1275,994,1218,651,7.0
bts 콘서트 2019,2019-10-29,18:30,,2호선,동대문역사문화공원,하차,39,412,1159,2994,1784,1463,1284,1210,1339,1205,1162,1211,1302,1678,1971,1223,914,1044,674,228.0
bts 콘서트 2018,2018-08-25,18:30,,2호선,동대문역사문화공원,하차,50,318,460,977,1250,1333,1398,1624,1934,1768,1698,1377,1599,1405,1230,992,886,894,678,131.0
bts 콘서트 2018,2018-08-26,18:30,,2호선,동대문역사문화공원,하차,21,229,240,433,794,1137,1152,1302,1435,1356,1047,1100,1087,1092,1425,1173,1021,954,500,14.0
조용필 콘서트 2018,2018-05-12,19:30,,2호선,동대문역사문화공원,하차,43,357,512,1006,1035,1067,1377,1500,1905,1846,1709,1675,1706,1293,1152,954,792,643,419,139.0
월드 디제이 페스티벌,2018-05-26,14:00,22:00,2호선,동대문역사문화공원,하차,45,344,473,1115,1165,1759,1921,2022,2184,2281,2039,1735,1709,1467,1250,1130,950,760,704,270.0
월드 디제이 페스티벌,2018-05-27,14:00,22:00,2호선,동대문역사문화공원,하차,20,212,327,503,898,1866,1507,1822,2166,1693,1467,1406,1254,1097,1406,1075,985,714,548,17.0
아이유 콘서트,2022-09-17,19:00,21:30,2호선,신당,하차,34,248,392,629,580,591,780,966,942,882,932,1090,1220,1124,709,588,550,557,432,15.0
아이유 콘서트,2022-09-18,19:00,21:30,2호선,신당,하차,41,150,167,307,444,583,703,651,820,670,611,819,851,773,580,470,442,400,299,4.0
싸이 흠뻑쇼,2022-07-15,18:42,22:40,2호선,신당,하차,42,323,717,1364,881,589,643,619,780,726,792,999,1279,1974,1220,744,657,603,518,212.0
싸이 흠뻑쇼,2022-07-16,18:42,22:40,2호선,신당,하차,49,259,347,557,581,521,690,684,750,751,732,964,1130,972,581,483,496,551,446,11.0
싸이 흠뻑쇼,2022-07-17,18:42,22:40,2호선,신당,하차,38,143,205,257,402,584,566,634,601,603,627,635,649,609,550,517,488,426,337,3.0
워터밤 2022,2022-06-24,12:00,22:00,2호선,신당,하차,37,332,701,1312,880,626,629,648,756,742,828,1089,1287,2065,1213,718,637,675,539,249.0
워터밤 2022,2022-06-25,12:00,22:00,2호선,신당,하차,47,227,327,665,638,591,746,831,795,824,912,988,1017,892,683,595,589,543,474,7.0
워터밤 2022,2022-06-26,12:00,22:00,2호선,신당,하차,38,159,163,275,346,544,608,617,603,634,624,731,654,543,421,522,433,377,282,1.0
bts 콘서트 2019,2019-10-26,18:30,,2호선,신당,하차,57,263,426,685,619,677,865,978,974,1011,966,1242,1227,1070,863,770,742,678,640,78.0
bts 콘서트 2019,2019-10-27,18:30,,2호선,신당,하차,59,217,205,335,498,697,780,748,808,775,814,824,815,868,714,651,562,579,391,14.0
bts 콘서트 2019,2019-10-29,18:30,,2호선,신당,하차,47,298,789,1830,1098,783,694,756,828,825,844,1098,1237,1997,1484,841,867,783,563,210.0
bts 콘서트 2018,2018-08-25,18:30,,2호선,신당,하차,55,343,470,813,652,607,750,814,898,972,923,1009,1238,1105,797,674,640,670,570,65.0
bts 콘서트 2018,2018-08-26,18:30,,2호선,신당,하차,33,198,210,307,479,631,701,723,758,702,667,672,776,795,619,554,517,546,336,7.0
조용필 콘서트 2018,2018-05-12,19:30,,2호선,신당,하차,81,308,491,833,692,569,819,805,895,938,963,1033,1231,1080,910,652,670,677,572,95.0
월드 디제이 페스티벌,2018-05-26,14:00,22:00,2호선,신당,하차,87,336,481,882,708,670,847,843,1027,1064,994,1040,1311,1120,892,625,783,628,656,106.0
월드 디제이 페스티벌,2018-05-27,14:00,22:00,2호선,신당,하차,40,233,248,394,516,628,806,832,888,744,713,785,872,696,698,523,634,514,451,19.0
아이유 콘서트,2022-09-17,19:00,21:30,2호선,왕십리(성동구청),하차,33,190,188,427,507,511,775,877,854,883,911,1017,1224,1290,910,702,704,662,648,44.0
아이유 콘서트,2022-09-18,19:00,21:30,2호선,왕십리(성동구청),하차,32,164,123,286,273,364,509,573,657,633,706,779,813,756,678,575,519,450,473,20.0
싸이 흠뻑쇼,2022-07-15,18:42,22:40,2호선,왕십리(성동구청),하차,51,248,554,1154,701,508,508,583,640,670,764,958,1418,2445,1520,792,685,701,708,350.0
싸이 흠뻑쇼,2022-07-16,18:42,22:40,2호선,왕십리(성동구청),하차,32,155,192,440,441,585,679,703,739,729,821,1009,1163,1170,722,553,600,656,644,8.0
싸이 흠뻑쇼,2022-07-17,18:42,22:40,2호선,왕십리(성동구청),하차,38,112,124,230,330,399,492,510,662,573,634,646,792,747,580,577,536,507,441,3.0
워터밤 2022,2022-06-24,12:00,22:00,2호선,왕십리(성동구청),하차,52,252,566,1145,690,506,524,532,601,705,746,1005,1388,2660,1600,851,714,816,683,347.0
워터밤 2022,2022-06-25,12:00,22:00,2호선,왕십리(성동구청),하차,39,221,273,427,476,548,705,818,885,813,1004,1087,1217,1253,811,719,639,645,595,35.0
워터밤 2022,2022-06-26,12:00,22:00,2호선,왕십리(성동구청),하차,24,152,149,227,330,342,430,552,628,622,679,643,777,783,577,548,569,523,377,2.0
bts 콘서트 2019,2019-10-26,18:30,,2호선,왕십리(성동구청),하차,44,227,290,529,623,594,940,958,1111,1157,1043,1321,1563,1649,1324,1094,994,1054,742,127.0
bts 콘서트 2019,2019-10-27,18:30,,2호선,왕십리(성동구청),하차,56,280,237,265,454,571,637,722,788,782,806,1006,1176,1166,799,764,784,792,545,40.0
bts 콘서트 2019,2019-10-29,18:30,,2호선,왕십리(성동구청),하차,45,231,618,1381,975,629,595,565,706,645,749,960,1446,2595,1637,996,841,967,609,270.0
bts 콘서트 2018,2018-08-25,18:30,,2호선,왕십리(성동구청),하차,34,179,254,536,808,626,855,1169,1072,886,1060,1061,1307,1535,1101,896,855,901,731,119.0
bts 콘서트 2018,2018-08-26,18:30,,2호선,왕십리(성동구청),하차,35,197,184,229,386,409,455,579,669,682,722,773,841,1053,765,646,702,688,483,26.0
조용필 콘서트 2018,2018-05-12,19:30,,2호선,왕십리(성동구청),하차,62,268,311,598,708,705,894,896,1069,1065,1087,1181,1494,1492,1199,942,840,892,822,133.0
월드 디제이 페스티벌,2018-05-26,14:00,22:00,2호선,왕십리(성동구청),하차,71,258,294,679,811,741,960,946,1081,1001,1319,1111,1486,1475,1208,1102,936,891,895,150.0
월드 디제이 페스티벌,2018-05-27,14:00,22:00,2호선,왕십리(성동구청),하차,47,274,201,358,417,454,579,746,773,761,755,893,1003,1050,857,745,714,824,684,29.0
아이유 콘서트,2022-09-17,19:00,21:30,2호선,성수,하차,75,548,618,1093,1234,1330,1831,2344,2878,2733,2383,2627,2616,1895,1123,677,506,544,476,416.0
아이유 콘서트,2022-09-18,19:00,21:30,2호선,성수,하차,37,303,399,571,696,1076,1464,1904,1958,1922,1801,1741,1478,1123,765,482,441,359,482,89.0
싸이 흠뻑쇼,2022-07-15,18:42,22:40,2호선,성수,하차,163,1251,3402,11893,6071,2423,1744,1682,1982,1746,1817,1940,2256,3253,1852,890,614,549,415,377.0
싸이 흠뻑쇼,2022-07-16,18:42,22:40,2호선,성수,하차,80,563,554,1179,1072,1262,1837,2151,2447,2469,2258,2245,2289,1598,961,555,484,434,696,201.0
싸이 흠뻑쇼,2022-07-17,18:42,22:40,2호선,성수,하차,38,273,357,501,743,1167,1623,1799,2034,1843,1850,1687,1571,1173,698,476,390,371,481,82.0
워터밤 2022,2022-06-24,12:00,22:00,2호선,성수,하차,156,1277,3336,12089,6349,2376,1752,1685,1775,1691,1738,1901,2204,3261,2099,858,554,535,424,360.0
워터밤 2022,2022-06-25,12:00,22:00,2호선,성수,하차,95,564,666,1096,1259,1368,2072,2502,2810,2458,2411,2566,2261,1821,1007,626,528,454,634,206.0
워터밤 2022,2022-06-26,12:00,22:00,2호선,성수,하차,38,292,363,480,644,919,1169,1583,1755,1581,1503,1461,1281,934,636,447,416,391,474,86.0
bts 콘서트 2019,2019-10-26,18:30,,2호선,성수,하차,95,616,781,1397,1427,1141,1228,1560,1810,1876,1819,1867,2017,1709,1078,745,602,608,528,371.0
bts 콘서트 2019,2019-10-27,18:30,,2호선,성수,하차,42,416,335,531,666,831,852,1158,1205,1286,1257,1119,1271,1028,677,515,499,560,503,146.0
bts 콘서트 2019,2019-10-29,18:30,,2호선,성수,하차,201,1159,3047,12697,4956,1852,1351,1267,1327,1234,1233,1364,1563,1971,1435,864,734,688,445,266.0
bts 콘서트 2018,2018-08-25,18:30,,2호선,성수,하차,82,632,839,1658,895,794,1010,1024,1212,1175,1502,1896,2103,1293,934,652,600,609,535,373.0
bts 콘서트 2018,2018-08-26,18:30,,2호선,성수,하차,41,373,370,481,466,661,631,647,867,784,844,889,840,795,532,474,427,430,419,146.0
조용필 콘서트 2018,2018-05-12,19:30,,2호선,성수,하차,94,828,773,1699,1036,913,1081,1127,1037,1120,1127,1198,1245,1049,778,624,557,577,459,258.0
월드 디제이 페스티벌,2018-05-26,14:00,22:00,2호선,성수,하차,85,829,754,1630,998,939,1033,1336,1346,1447,1642,1815,2083,1491,976,753,610,619,685,427.0
월드 디제이 페스티벌,2018-05-27,14:00,22:00,2호선,성수,하차,41,366,363,505,592,775,619,795,931,978,1037,977,934,917,649,532,512,474,546,334.0
아이유 콘서트,2022-09-17,19:00,21:30,2호선,신설동,하차,16,48,101,154,219,365,349,356,319,319,275,256,189,171,110,99,95,114,124,10.0
아이유 콘서트,2022-09-18,19:00,21:30,2호선,신설동,하차,10,38,57,120,271,446,417,345,364,284,258,181,122,114,93,82,79,58,77,14.0
싸이 흠뻑쇼,2022-07-15,18:42,22:40,2호선,신설동,하차,16,68,181,565,279,215,233,220,297,239,231,218,266,307,202,110,108,128,93,54.0
싸이 흠뻑쇼,2022-07-16,18:42,22:40,2호선,신설동,하차,9,47,88,140,183,237,322,375,351,290,224,200,233,198,116,92,83,102,94,17.0
싸이 흠뻑쇼,2022-07-17,18:42,22:40,2호선,신설동,하차,10,47,73,92,264,458,402,334,320,283,216,150,136,109,80,73,97,73,76,18.0
워터밤 2022,2022-06-24,12:00,22:00,2호선,신설동,하차,15,62,200,568,335,280,205,191,216,233,191,174,214,326,154,111,117,89,115,60.0
워터밤 2022,2022-06-25,12:00,22:00,2호선,신설동,하차,12,57,104,169,250,380,332,348,345,271,262,220,192,156,87,94,99,77,90,28.0
워터밤 2022,2022-06-26,12:00,22:00,2호선,신설동,하차,10,39,60,105,222,400,339,344,356,234,221,123,99,77,74,56,84,82,70,7.0
bts 콘서트 2019,2019-10-26,18:30,,2호선,신설동,하차,15,62,146,214,287,395,419,450,403,435,358,261,293,170,123,118,97,144,87,25.0
bts 콘서트 2019,2019-10-27,18:30,,2호선,신설동,하차,19,48,80,147,322,459,439,468,465,441,341,206,155,144,103,96,95,152,96,4.0
bts 콘서트 2019,2019-10-29,18:30,,2호선,신설동,하차,20,69,228,656,418,239,209,222,200,181,205,183,229,256,212,113,116,138,123,38.0
bts 콘서트 2018,2018-08-25,18:30,,2호선,신설동,하차,11,61,114,186,223,324,396,466,566,413,333,290,292,213,151,120,94,120,100,6.0
bts 콘서트 2018,2018-08-26,18:30,,2호선,신설동,하차,7,39,69,152,296,441,407,370,382,315,251,200,139,113,72,118,110,135,73,8.0
조용필 콘서트 2018,2018-05-12,19:30,,2호선,신설동,하차,16,85,112,292,440,461,411,399,317,325,285,228,242,207,166,120,126,119,111,15.0
월드 디제이 페스티벌,2018-05-26,14:00,22:00,2호선,신설동,하차,16,87,118,238,380,472,405,428,433,386,319,276,354,168,121,133,98,132,105,14.0
월드 디제이 페스티벌,2018-05-27,14:00,22:00,2호선,신설동,하차,12,42,64,139,334,411,475,440,408,391,322,199,202,160,81,93,85,104,71,8.0
아이유 콘서트,2022-09-17,19:00,21:30,2호선,건대입구,하차,60,506,443,840,1440,1439,2085,2823,2894,3325,3154,3636,4149,4199,3199,2481,2097,2113,1604,137.0
아이유 콘서트,2022-09-18,19:00,21:30,2호선,건대입구,하차,44,342,294,462,752,1066,1630,1937,2317,2196,2244,2786,2926,2801,2145,1685,1733,1454,958,72.0
싸이 흠뻑쇼,2022-07-15,18:42,22:40,2호선,건대입구,하차,70,688,1090,2499,2045,1439,1586,1663,1824,1915,2094,2666,3669,7186,5112,2547,2291,2125,1591,836.0
싸이 흠뻑쇼,2022-07-16,18:42,22:40,2호선,건대입구,하차,57,469,449,824,1355,1385,2021,2539,2764,2613,2766,3370,4075,4042,2492,2175,1860,1925,1526,114.0
